name,school_id,capacity,id
1,SC000001,50,CL000001
2,SC000001,50,CL000002
3,SC000001,50,CL000003
4,SC000001,50,CL000004
5,SC000001,50,CL000005
6,SC000001,50,CL000006
7,SC000001,50,CL000007
8,SC000001,50,CL000008
9,SC000001,50,CL000009
10,SC000001,50,CL000010
1,SC000002,50,CL000011
2,SC000002,50,CL000012
3,SC000002,50,CL000013
4,SC000002,50,CL000014
5,SC000002,50,CL000015
6,SC000002,50,CL000016
7,SC000002,50,CL000017
8,SC000002,50,CL000018
9,SC000002,50,CL000019
10,SC000002,50,CL000020
11,SC000002,50,CL000021
12,SC000002,50,CL000022
1,SC000003,50,CL000023
2,SC000003,50,CL000024
3,SC000003,50,CL000025
4,SC000003,50,CL000026
5,SC000003,50,CL000027
1,SC000004,50,CL000028
2,SC000004,50,CL000029
3,SC000004,50,CL000030
4,SC000004,50,CL000031
5,SC000004,50,CL000032
1,SC000005,50,CL000033
2,SC000005,50,CL000034
3,SC000005,50,CL000035
4,SC000005,50,CL000036
5,SC000005,50,CL000037
6,SC000005,50,CL000038
7,SC000005,50,CL000039
8,SC000005,50,CL000040
