subject_id,student_id,assessment_type,marks_obtained,id
SB000001,ST000001,UT-1,77,MR000001
SB000001,ST000001,UT-2,46,MR000002
SB000001,ST000001,UT-3,93,MR000003
SB000001,ST000001,HY,90,MR000004
SB000001,ST000001,FA,25,MR000005
SB000002,ST000001,UT-1,88,MR000006
SB000002,ST000001,UT-2,85,MR000007
SB000002,ST000001,UT-3,46,MR000008
SB000002,ST000001,HY,78,MR000009
SB000002,ST000001,FA,90,MR000010
SB000003,ST000001,UT-1,44,MR000011
SB000003,ST000001,UT-2,97,MR000012
SB000003,ST000001,UT-3,35,MR000013
SB000003,ST000001,HY,59,MR000014
SB000003,ST000001,FA,52,MR000015
SB000001,ST000002,UT-1,63,MR000016
SB000001,ST000002,UT-2,1,MR000017
SB000001,ST000002,UT-3,40,MR000018
SB000001,ST000002,HY,76,MR000019
SB000001,ST000002,FA,92,MR000020
SB000002,ST000002,UT-1,83,MR000021
SB000002,ST000002,UT-2,75,MR000022
SB000002,ST000002,UT-3,81,MR000023
SB000002,ST000002,HY,99,MR000024
SB000002,ST000002,FA,86,MR000025
SB000003,ST000002,UT-1,19,MR000026
SB000003,ST000002,UT-2,31,MR000027
SB000003,ST000002,UT-3,20,MR000028
SB000003,ST000002,HY,86,MR000029
SB000003,ST000002,FA,61,MR000030
SB000001,ST000003,UT-1,54,MR000031
SB000001,ST000003,UT-2,76,MR000032
SB000001,ST000003,UT-3,100,MR000033
SB000001,ST000003,HY,20,MR000034
SB000001,ST000003,FA,99,MR000035
SB000002,ST000003,UT-1,87,MR000036
SB000002,ST000003,UT-2,78,MR000037
SB000002,ST000003,UT-3,4,MR000038
SB000002,ST000003,HY,72,MR000039
SB000002,ST000003,FA,17,MR000040
SB000003,ST000003,UT-1,91,MR000041
SB000003,ST000003,UT-2,96,MR000042
SB000003,ST000003,UT-3,37,MR000043
SB000003,ST000003,HY,30,MR000044
SB000003,ST000003,FA,13,MR000045
SB000001,ST000004,UT-1,75,MR000046
SB000001,ST000004,UT-2,72,MR000047
SB000001,ST000004,UT-3,41,MR000048
SB000001,ST000004,HY,51,MR000049
