name,class_id,max_marks,pass_marks,id
HINDI,CL000001,100,35,SB000001
ENGLISH,CL000001,100,35,SB000002
MATHS,CL000001,100,35,SB000003
HINDI,CL000002,100,35,SB000004
ENGLISH,CL000002,100,35,SB000005
MATHS,CL000002,100,35,SB000006
HINDI,CL000003,100,35,SB000007
ENGLISH,CL000003,100,35,SB000008
MATHS,CL000003,100,35,SB000009
HINDI,CL000004,100,35,SB000010
ENGLISH,CL000004,100,35,SB000011
MATHS,CL000004,100,35,SB000012
SCIENCE,CL000004,100,35,SB000013
SOCIAL SCIENCE,CL000004,100,35,SB000014
HINDI,CL000005,100,35,SB000015
ENGLISH,CL000005,100,35,SB000016
MATHS,CL000005,100,35,SB000017
SCIENCE,CL000005,100,35,SB000018
SOCIAL SCIENCE,CL000005,100,35,SB000019
HINDI,CL000006,100,35,SB000020
ENGLISH,CL000006,100,35,SB000021
MATHS,CL000006,100,35,SB000022
SCIENCE,CL000006,100,35,SB000023
SOCIAL SCIENCE,CL000006,100,35,SB000024
HINDI,CL000007,100,35,SB000025
ENGLISH,CL000007,100,35,SB000026
MATHS,CL000007,100,35,SB000027
SCIENCE,CL000007,100,35,SB000028
SOCIAL SCIENCE,CL000007,100,35,SB000029
HINDI,CL000008,100,35,SB000030
ENGLISH,CL000008,100,35,SB000031
MATHS,CL000008,100,35,SB000032
SCIENCE,CL000008,100,35,SB000033
SOCIAL SCIENCE,CL000008,100,35,SB000034
HINDI,CL000009,100,35,SB000035
ENGLISH,CL000009,100,35,SB000036
MATHS,CL000009,100,35,SB000037
SCIENCE,CL000009,100,35,SB000038
SOCIAL SCIENCE,CL000009,100,35,SB000039
HINDI,CL000010,100,35,SB000040
ENGLISH,CL000010,100,35,SB000041
MATHS,CL000010,100,35,SB000042
SCIENCE,CL000010,100,35,SB000043
SOCIAL SCIENCE,CL000010,100,35,SB000044
HINDI,CL000011,100,35,SB000045
ENGLISH,CL000011,100,35,SB000046
MATHS,CL000011,100,35,SB000047
SCIENCE,CL000011,100,35,SB000048
SOCIAL SCIENCE,CL000011,100,35,SB000049
HINDI,CL000012,100,35,SB000050
ENGLISH,CL000012,100,35,SB000051
MATHS,CL000012,100,35,SB000052
SCIENCE,CL000012,100,35,SB000053
SOCIAL SCIENCE,CL000012,100,35,SB000054
HINDI,CL000013,100,35,SB000055
ENGLISH,CL000013,100,35,SB000056
MATHS,CL000013,100,35,SB000057
HINDI,CL000014,100,35,SB000058
ENGLISH,CL000014,100,35,SB000059
MATHS,CL000014,100,35,SB000060
HINDI,CL000015,100,35,SB000061
ENGLISH,CL000015,100,35,SB000062
MATHS,CL000015,100,35,SB000063
HINDI,CL000016,100,35,SB000064
ENGLISH,CL000016,100,35,SB000065
MATHS,CL000016,100,35,SB000066
SCIENCE,CL000016,100,35,SB000067
SOCIAL SCIENCE,CL000016,100,35,SB000068
HINDI,CL000017,100,35,SB000069
ENGLISH,CL000017,100,35,SB000070
MATHS,CL000017,100,35,SB000071
SCIENCE,CL000017,100,35,SB000072
SOCIAL SCIENCE,CL000017,100,35,SB000073
HINDI,CL000018,100,35,SB000074
ENGLISH,CL000018,100,35,SB000075
MATHS,CL000018,100,35,SB000076
HINDI,CL000019,100,35,SB000077
ENGLISH,CL000019,100,35,SB000078
MATHS,CL000019,100,35,SB000079
HINDI,CL000020,100,35,SB000080
ENGLISH,CL000020,100,35,SB000081
MATHS,CL000020,100,35,SB000082
HINDI,CL000021,100,35,SB000083
ENGLISH,CL000021,100,35,SB000084
MATHS,CL000021,100,35,SB000085
SCIENCE,CL000021,100,35,SB000086
SOCIAL SCIENCE,CL000021,100,35,SB000087
HINDI,CL000022,100,35,SB000088
ENGLISH,CL000022,100,35,SB000089
MATHS,CL000022,100,35,SB000090
SCIENCE,CL000022,100,35,SB000091
SOCIAL SCIENCE,CL000022,100,35,SB000092
HINDI,CL000023,100,35,SB000093
ENGLISH,CL000023,100,35,SB000094
MATHS,CL000023,100,35,SB000095
SCIENCE,CL000023,100,35,SB000096
SOCIAL SCIENCE,CL000023,100,35,SB000097
HINDI,CL000024,100,35,SB000098
